Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
130	43.4207006	24.2408287	22.8861956	18.8741081	17.0721291	16.1341835	21.3392015	37.6807909	17.1878509	12.4467906	11.1683563	9.6022123	35.9458452	33.8274588	28.3022848	16.6548801	9.3922538	8.6909402	14.0302698	12.6674751	33.6447439	30.4549938	24.6383519	12.4104630	17.6852935	6.7981701	12.6383147	11.6167830	31.0697974	0.0387358	0.1093783
135	43.5087771	34.5868056	22.7382549	20.0376640	17.0721291	16.1341835	21.3392015	40.8322054	21.4224304	12.4467906	16.7225297	6.6995621	34.4355697	33.4659630	25.8813611	20.8348566	10.9018370	7.4955804	19.3517779	15.2335831	32.5505938	32.4073346	20.2505738	12.4104630	19.0691189	10.1474317	14.7777017	7.7078421	28.4328114	0.0417052	0.0614671
140	42.0012534	27.6443917	22.8807198	21.4910235	16.0909056	16.1341835	17.4805098	35.2846689	22.8978783	18.4744568	12.6477275	9.6053981	34.6049412	32.7126841	21.1446950	19.1930019	10.9018370	10.6168047	16.4670964	16.4693013	31.9725259	28.1101824	25.5419717	16.8692229	14.7747411	7.0939152	14.2369872	12.0786895	25.5551349	0.0372895	0.0671033
145	42.9662623	24.5583645	22.9202721	19.5721494	12.9497104	16.1982601	20.5852225	37.6790996	20.6472050	14.1533777	16.9154973	8.3885700	35.6350746	33.5849350	27.7968305	26.3115588	11.1838766	10.3927461	13.7041115	16.9664958	32.7620511	30.2446612	25.8441420	13.2021881	21.5793044	9.7660735	18.5367067	12.0786895	25.5551349	0.0381238	0.0517047
150	44.1769283	25.7434537	24.3869541	23.6664851	16.2763157	22.5104074	20.5852225	37.5005377	26.8384348	14.1533777	12.1048504	8.1571412	35.4561988	32.3510300	27.4796638	20.8587715	11.1838766	7.6640813	19.8937826	16.9664958	29.0599604	27.2406835	25.8441420	13.2021881	16.0661054	8.8811311	13.9156276	10.0951591	22.5205056	0.0358872	0.0517047
155	41.9121594	25.3681226	24.2981096	20.5865312	13.5723379	15.5211980	11.4938463	34.5489263	17.7303856	16.0504811	10.2572234	8.1571412	31.8018632	31.7831606	26.4611114	26.2487842	10.5676329	7.6670601	18.3245854	16.9664958	31.1880116	23.8081372	19.4908186	10.9080507	17.9189221	6.5849945	12.2486194	11.4029156	28.6089823	0.0381051	0.0447719
160	33.9881981	23.6056949	23.3271223	20.6476122	13.5723379	16.6868359	19.7510820	31.7460393	23.4059310	16.0504811	10.6898290	8.1571412	30.7150353	26.4176012	26.2341965	22.6100242	10.0774200	7.9401866	22.1717852	16.9664958	26.2467790	25.8576077	21.5265131	14.1921375	18.9740713	9.2477003	15.5906134	15.3037082	20.5843868	0.0396127	0.0312554
165	42.0629488	33.5732190	22.7487766	21.5039065	13.5723379	16.6868359	15.7409355	37.6055271	20.1167058	10.9014287	11.5935786	9.7118432	37.1995922	33.1635137	26.1458811	24.2910296	10.3469274	7.4695029	20.5969973	17.8255983	30.7703649	29.4932669	24.7586275	17.1340067	18.9713709	6.3358449	16.2044779	15.3037082	21.9521894	0.0374929	0.0281140
170	42.7893704	30.5526719	24.2543735	19.4975776	15.4667654	13.7659657	22.4985757	33.9112424	19.8815546	19.5125500	14.4072880	7.7937941	33.4868538	30.8985594	24.0217636	21.1144722	12.8366097	12.2492467	20.5969973	14.7415159	28.1086562	26.8606492	23.8600661	12.8694985	19.4842266	8.1883301	15.3249383	14.6005532	22.6754103	0.0374929	0.0284562
175	36.5870967	31.5130429	25.2523662	20.4675873	18.3086967	19.9705514	20.5832522	34.3925492	26.1318243	13.3102545	10.5595053	8.7751059	33.9752479	31.9491872	27.7263671	24.0787548	12.8366097	7.1107423	21.0672546	16.2969822	29.1403460	25.3414413	22.5817525	13.4132864	18.3331928	8.1883301	17.3206304	10.0249373	25.9138637	0.0361502	0.0148037
