Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
125	38.7056660	29.3247060	22.7387461	22.0727729	15.9115703	16.3662751	19.7867991	35.7725634	21.4999699	17.3014366	12.0540605	8.0205060	33.7644573	32.5272563	24.0886309	22.0132319	11.6674436	10.2864398	18.7875660	16.6702928	30.7286624	29.8591336	25.8757870	15.4917274	17.8734321	8.6852830	12.3078996	11.2886980	24.6364597	0.0150939	0.0092204	-25.691
130	41.5309835	28.9689876	24.4591963	21.6950926	15.9115703	17.2789102	23.2915214	37.9803614	21.8618053	16.0624936	12.9225040	8.0205060	35.4135613	32.6666487	23.6820091	20.9206300	11.0659304	9.4024470	18.7875660	16.6390065	30.0528276	28.8720035	22.9489532	14.2164826	17.8734321	7.3152148	13.7909170	10.8493467	24.6364597	0.0145125	0.0157560	-27.437
135	41.5309835	29.1498228	25.8568248	24.3510985	15.1502700	18.8790425	22.2214257	37.9803614	21.8618053	14.7460278	12.8133553	7.0470580	33.8154269	32.6666487	26.4249508	22.9689797	11.7099239	9.4024470	19.6860152	15.5330478	30.0528276	28.6885884	21.5358786	14.2164826	17.3328491	6.3935379	14.2607517	12.4877299	25.5365185	0.0145517	0.0157560	-31.891
140	39.5647022	28.9944285	24.2424621	21.6559216	15.0172258	17.9866729	22.2214257	35.6749167	23.8088232	16.2599591	12.9367282	7.0470580	33.8828205	31.9042951	26.8398796	23.1292951	11.1005749	9.1249018	18.4506357	18.6304295	30.8315931	29.1934031	23.5149104	14.9057745	19.3083142	6.3935379	15.1851154	12.9633511	24.0796553	0.0142201	0.0269401	-24.079
145	39.5647022	29.8602229	23.4978383	21.6559216	14.2456897	17.9866729	22.2214257	35.9499170	23.8088232	15.4663811	13.9803300	8.0937368	33.8828205	32.5953908	24.7171185	21.8224516	10.9495686	9.3555012	19.1814044	19.4878905	29.8007053	28.1107542	25.3680385	14.2638650	18.2791836	6.3935379	15.1851154	12.6730459	22.6640151	0.0144081	0.0370747	-27.377
150	39.1592744	28.3621198	23.4978383	21.6559216	13.5603368	17.3791308	21.3733682	38.0066443	23.8088232	16.7600452	13.6211256	8.0937368	33.1556927	31.1413318	24.8263661	21.8224516	10.9495686	9.9685299	19.1814044	18.5518634	28.7357539	27.3591425	24.1653974	12.9465459	17.6194851	6.1364690	13.8636563	12.6730459	22.3903362	0.0148661	0.0228411	-24.998
155	39.8217003	29.9406604	23.8107642	22.8424226	13.3169929	16.3199685	20.6403697	38.2216886	24.2960503	15.5629048	13.2540411	8.0937368	31.8397523	31.1413318	25.5668200	21.8224516	11.3540037	8.3207170	20.4227130	16.0616937	28.9922637	27.5767069	24.1653974	14.7529507	17.8724933	7.6210302	14.1685024	11.9094567	25.1943320	0.0152818	0.0143678	-31.508
160	39.1474574	26.3411451	23.1557918	21.9426674	13.3169929	16.7733011	19.5248471	37.2011361	23.6241250	16.4663313	13.4064544	8.0937368	33.0721438	32.1106870	23.7862076	21.8224516	9.7728358	8.3972546	20.5240040	15.1354643	30.3215438	29.3233502	24.1653974	13.9110966	17.7803533	7.6210302	14.8874728	11.9094567	25.6404256	0.0148734	0.0143678	-31.115
165	40.3689696	27.3503670	21.3537576	20.2835329	14.1857839	15.3440035	19.9652967	37.2011361	24.9120885	16.5914185	13.6401941	7.6294537	35.0504528	32.5311030	25.0460767	21.8224516	10.8948931	8.3698033	19.7573209	14.7413994	30.5633169	28.6043121	25.8536524	16.5968520	17.7658787	6.5607949	14.8874728	11.6469474	26.4762976	0.0151803	0.0224146	-24.587
170	38.6632429	26.2656833	20.4724860	19.0337574	12.7123438	14.6666573	19.9440373	36.2932297	23.3729661	15.8850671	14.2858385	8.1175149	32.5415393	31.6363819	24.6873466	21.8224516	10.8948931	10.2663471	19.2416231	15.6274112	30.5633169	30.3774047	27.6295317	15.1060089	18.7320096	8.0143253	14.5786972	12.9686886	24.9394874	0.0154834	0.0268469	-22.109
